name,spawnable,useType,type,status,rarity,statMin,statMax,cost,itemImage,inventoryImage
bow10,1,weapon,bow,damage,9,130,145,23000,Sprites/Items_60,icons/equip/bow10
bow11,1,weapon,bow,damage,10,145,160,35000,Sprites/Items_60,icons/equip/bow11
bow12,1,weapon,bow,damage,11,160,180,48000,Sprites/Items_60,icons/equip/bow12
bow13,1,weapon,bow,damage,12,200,230,73000,Sprites/Items_60,icons/equip/bow13
,,,,,,,,,,
fan01,1,weapon,fan,damage,1,16,22,150,Sprites/Items_3,icons/equip/fan01
fan02,1,weapon,fan,damage,2,28,36,550,Sprites/Items_3,icons/equip/fan02
fan03,1,weapon,fan,damage,3,40,50,1070,Sprites/Items_3,icons/equip/fan03
fan04,1,weapon,fan,damage,3,60,70,2400,Sprites/Items_3,icons/equip/fan04
fan05,1,weapon,fan,damage,4,80,100,4500,Sprites/Items_3,icons/equip/fan05
fan06,1,weapon,fan,damage,5,120,140,6500,Sprites/Items_3,icons/equip/fan06
fan07,1,weapon,fan,damage,6,150,170,9000,Sprites/Items_3,icons/equip/fan07
fan08,1,weapon,fan,damage,7,170,200,10000,Sprites/Items_3,icons/equip/fan08
fan09,1,weapon,fan,damage,8,230,260,22000,Sprites/Items_3,icons/equip/fan09
fan10,1,weapon,fan,damage,9,260,290,23000,Sprites/Items_3,icons/equip/fan10
fan11,1,weapon,fan,damage,10,290,320,35000,Sprites/Items_3,icons/equip/fan11
fan12,1,weapon,fan,damage,11,320,360,48000,Sprites/Items_3,icons/equip/fan12
fan13,1,weapon,fan,damage,12,400,460,73000,Sprites/Items_3,icons/equip/fan13
,,,,,,,,,,
stf01,1,weapon,staff,damage,1,16,22,150,Sprites/Items_56,icons/equip/stf01
stf02,1,weapon,staff,damage,2,28,36,550,Sprites/Items_56,icons/equip/stf02
stf03,1,weapon,staff,damage,3,40,50,1070,Sprites/Items_56,icons/equip/stf03
stf04,1,weapon,staff,damage,3,60,70,2400,Sprites/Items_56,icons/equip/stf04
stf05,1,weapon,staff,damage,4,80,100,4500,Sprites/Items_56,icons/equip/stf05
stf06,1,weapon,staff,damage,5,120,140,6500,Sprites/Items_56,icons/equip/stf06
stf07,1,weapon,staff,damage,6,150,170,9000,Sprites/Items_56,icons/equip/stf07
stf08,1,weapon,staff,damage,7,170,200,10000,Sprites/Items_56,icons/equip/stf08
stf09,1,weapon,staff,damage,8,230,260,22000,Sprites/Items_56,icons/equip/stf09
stf10,1,weapon,staff,damage,9,260,290,23000,Sprites/Items_56,icons/equip/stf10
stf11,1,weapon,staff,damage,10,290,320,35000,Sprites/Items_56,icons/equip/stf11
stf12,1,weapon,staff,damage,11,320,360,48000,Sprites/Items_56,icons/equip/stf12
stf13,1,weapon,staff,damage,12,400,460,73000,Sprites/Items_56,icons/equip/stf13
